trade_id,symbol,side,entry_time_utc,entry_price,lowest_100_price,highest_100_price,atr_14,stop_loss_price,take_profit_price,risk_usdt,target_reward_usdt,result,pnl_usdt,holding_bars,target,trend_100b_pct,trend_50b_pct,trend_20b_pct,stoch_pos_pct,norm_atr_pct,volatility_range_pct,volume_ratio,entry_hour,dist_to_100low_pct,last_bar_body_ratio,last_bar_is_bullish
1165,TACUSDT,LONG,2026-08-16 02:00:00 UTC,0.00275,0.00256,0.00298,6e-05,0.00244,0.00338,5.68,11.36,LOSS,-5.68,78,0,-4.5139,0.365,3.3835,45.2381,2.1818,15.2727,1.1982,2,6.9091,0.75,0
1166,TACUSDT,LONG,2026-08-16 03:00:00 UTC,0.00274,0.00256,0.00298,6e-05,0.00244,0.00332,5.3,10.61,LOSS,-5.3,77,0,-5.8419,0.3663,2.6217,42.8571,2.1898,15.3285,1.0736,3,6.5693,0.25,0
1167,TACUSDT,LONG,2026-08-16 04:00:00 UTC,0.00279,0.00256,0.00298,6e-05,0.00244,0.00347,6.13,12.27,LOSS,-6.13,76,0,-5.102,5.283,5.283,54.7619,2.1505,15.0538,0.9934,4,8.2437,0.7143,1
1168,TACUSDT,LONG,2026-08-16 05:00:00 UTC,0.00275,0.00256,0.00298,6e-05,0.00244,0.00337,5.63,11.26,LOSS,-5.63,75,0,-6.4626,2.2305,2.6119,45.2381,2.1818,15.2727,1.0077,5,6.9091,0.5,0
1169,TACUSDT,LONG,2026-08-16 06:00:00 UTC,0.00274,0.00256,0.00298,6e-05,0.00244,0.00332,5.31,10.61,LOSS,-5.31,74,0,-7.1186,1.107,0.7353,42.8571,2.1898,15.3285,0.9891,6,6.5693,0.25,0
1170,TACUSDT,LONG,2026-08-16 07:00:00 UTC,0.00274,0.00256,0.00298,6e-05,0.00245,0.00331,5.28,10.56,LOSS,-5.28,73,0,-6.4846,1.107,0.0,42.8571,2.1898,15.3285,0.9527,7,6.5693,0.0,0
1171,TACUSDT,LONG,2026-08-16 08:00:00 UTC,0.00277,0.00256,0.00298,6e-05,0.00245,0.0034,5.75,11.49,LOSS,-5.75,72,0,-5.4608,3.3582,-5.137,50.0,2.1661,15.1625,0.9301,8,7.5812,0.5,1
1172,TACUSDT,LONG,2026-08-16 09:00:00 UTC,0.00277,0.00256,0.00298,5e-05,0.00245,0.00341,5.74,11.49,LOSS,-5.74,71,0,-5.4608,2.974,-0.3597,50.0,1.8051,15.1625,0.861,9,7.5812,0.0,0
1173,TACUSDT,LONG,2026-08-16 10:00:00 UTC,0.00276,0.00256,0.00298,5e-05,0.00246,0.00335,5.44,10.88,LOSS,-5.44,70,0,-5.1546,3.7594,-2.8169,47.619,1.8116,15.2174,0.8248,10,7.2464,0.3333,0
1174,TACUSDT,LONG,2026-08-16 11:00:00 UTC,0.00275,0.00256,0.00298,5e-05,0.00246,0.00334,5.34,10.67,LOSS,-5.34,69,0,-5.802,4.1509,-4.8276,45.2381,1.8182,15.2727,0.7611,11,6.9091,0.0,0
1175,TACUSDT,LONG,2026-08-16 12:00:00 UTC,0.00275,0.00256,0.00298,5e-05,0.00246,0.00332,5.19,10.37,LOSS,-5.19,68,0,-6.1433,5.364,-5.1724,45.2381,1.8182,15.2727,0.7255,12,6.9091,0.0,0
1176,TACUSDT,LONG,2026-08-16 13:00:00 UTC,0.00274,0.00256,0.00298,5e-05,0.00247,0.0033,5.02,10.05,LOSS,-5.02,67,0,-7.1186,5.3846,-5.8419,42.8571,1.8248,15.3285,0.7016,13,6.5693,0.5,0
1177,TACUSDT,LONG,2026-08-16 14:00:00 UTC,0.00276,0.00256,0.00298,5e-05,0.00247,0.00333,5.22,10.44,LOSS,-5.22,66,0,-6.7568,4.1509,-3.8328,47.619,1.8116,15.2174,0.7036,14,7.2464,0.3333,1
1178,TACUSDT,LONG,2026-08-16 15:00:00 UTC,0.00279,0.00256,0.00298,5e-05,0.00247,0.00343,5.75,11.5,LOSS,-5.75,65,0,-6.0606,6.4885,-3.4602,54.7619,1.7921,15.0538,0.5774,15,8.2437,0.5,1
1179,TACUSDT,LONG,2026-08-16 16:00:00 UTC,0.00275,0.00256,0.00298,5e-05,0.00246,0.00332,5.2,10.41,LOSS,-5.2,64,0,-6.4626,3.3835,-4.1812,45.2381,1.8182,15.2727,0.6449,16,6.9091,0.5714,0
1180,TACUSDT,LONG,2026-08-16 17:00:00 UTC,0.00294,0.00256,0.003,6e-05,0.00243,0.00395,8.59,17.18,LOSS,-8.59,63,0,0.0,10.5263,3.5211,86.3636,2.0408,14.966,1.694,17,12.9252,0.76,1
1181,TACUSDT,LONG,2026-08-16 18:00:00 UTC,0.00294,0.00256,0.003,6e-05,0.00243,0.00396,8.65,17.29,LOSS,-8.65,62,0,0.3413,10.5263,4.6263,86.3636,2.0408,14.966,1.8937,18,12.9252,0.0,0
1182,TACUSDT,LONG,2026-08-16 19:00:00 UTC,0.00293,0.00256,0.003,6e-05,0.00243,0.00392,8.46,16.93,LOSS,-8.46,61,0,3.169,10.1504,5.0179,84.0909,2.0478,15.0171,1.9194,19,12.628,0.25,0
1183,TACUSDT,LONG,2026-08-16 20:00:00 UTC,0.00292,0.00256,0.003,6e-05,0.00244,0.00387,8.22,16.44,LOSS,-8.22,60,0,2.4561,10.6061,5.036,81.8182,2.0548,15.0685,1.9858,20,12.3288,0.2,0
1184,TACUSDT,LONG,2026-08-16 21:00:00 UTC,0.00292,0.00256,0.003,6e-05,0.00244,0.00389,8.26,16.53,LOSS,-8.26,59,0,1.7422,11.0266,6.1818,81.8182,2.0548,15.0685,2.034,21,12.3288,0.0,0
1185,TACUSDT,LONG,2026-08-16 22:00:00 UTC,0.00288,0.00256,0.003,6e-05,0.00244,0.00378,7.76,15.53,LOSS,-7.76,58,0,1.049,9.8859,5.4745,72.7273,2.0833,15.2778,2.0539,22,11.1111,0.4286,0
1186,TACUSDT,LONG,2026-08-16 23:00:00 UTC,0.00286,0.00256,0.003,6e-05,0.00244,0.00371,7.38,14.76,LOSS,-7.38,57,0,0.0,6.7164,2.509,68.1818,2.0979,15.3846,2.1026,23,10.4895,0.6667,0
1187,TACUSDT,LONG,2026-08-17 00:00:00 UTC,0.00294,0.00256,0.003,6e-05,0.00244,0.00394,8.52,17.03,LOSS,-8.52,56,0,3.1579,12.2137,6.9091,86.3636,2.0408,14.966,2.1168,0,12.9252,1.0,1
1188,TACUSDT,LONG,2026-08-17 01:00:00 UTC,0.00293,0.00256,0.003,6e-05,0.00244,0.0039,8.34,16.68,LOSS,-8.34,55,0,3.5336,11.4068,6.9343,84.0909,2.0478,15.0171,2.1484,1,12.628,0.1667,0
1189,TACUSDT,LONG,2026-08-17 02:00:00 UTC,0.00287,0.00256,0.003,6e-05,0.00244,0.00373,7.52,15.04,LOSS,-7.52,54,0,1.0563,8.7121,4.7445,70.4545,2.0906,15.331,2.1141,2,10.8014,0.75,0
