Trade_ID,Symbol,Side,Entry_Time_UTC,Entry_Unix_ms,Entry_Unix_sec,Exit_Time_UTC,Exit_Unix_ms,Exit_Unix_sec,Entry_Price,Lowest_100_Price,ATR_14,Stop_Loss_Price,Take_Profit_Price,Exit_Price,Position_Size_USDT,Risk_USDT,Target_Reward_USDT,Result,PnL_USDT,PnL_Percent,Holding_Bars
1179,TACUSDT,LONG,2026-08-16 16:00:00 UTC,1786896000000,1786896000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00275,0.00256,5e-05,0.00246,0.00332,0.00246,50.0,5.2,10.41,LOSS,-5.2,-10.41,64
1180,TACUSDT,LONG,2026-08-16 17:00:00 UTC,1786899600000,1786899600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00294,0.00256,6e-05,0.00243,0.00395,0.00243,50.0,8.59,17.18,LOSS,-8.59,-17.18,63
1181,TACUSDT,LONG,2026-08-16 18:00:00 UTC,1786903200000,1786903200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00294,0.00256,6e-05,0.00243,0.00396,0.00243,50.0,8.65,17.29,LOSS,-8.65,-17.29,62
1182,TACUSDT,LONG,2026-08-16 19:00:00 UTC,1786906800000,1786906800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00293,0.00256,6e-05,0.00243,0.00392,0.00243,50.0,8.46,16.93,LOSS,-8.46,-16.93,61
1183,TACUSDT,LONG,2026-08-16 20:00:00 UTC,1786910400000,1786910400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00292,0.00256,6e-05,0.00244,0.00387,0.00244,50.0,8.22,16.44,LOSS,-8.22,-16.44,60
1184,TACUSDT,LONG,2026-08-16 21:00:00 UTC,1786914000000,1786914000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00292,0.00256,6e-05,0.00244,0.00389,0.00244,50.0,8.26,16.53,LOSS,-8.26,-16.53,59
1185,TACUSDT,LONG,2026-08-16 22:00:00 UTC,1786917600000,1786917600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00288,0.00256,6e-05,0.00244,0.00378,0.00244,50.0,7.76,15.53,LOSS,-7.76,-15.53,58
1186,TACUSDT,LONG,2026-08-16 23:00:00 UTC,1786921200000,1786921200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00286,0.00256,6e-05,0.00244,0.00371,0.00244,50.0,7.38,14.76,LOSS,-7.38,-14.76,57
1187,TACUSDT,LONG,2026-08-17 00:00:00 UTC,1786924800000,1786924800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00294,0.00256,6e-05,0.00244,0.00394,0.00244,50.0,8.52,17.03,LOSS,-8.52,-17.03,56
1188,TACUSDT,LONG,2026-08-17 01:00:00 UTC,1786928400000,1786928400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00293,0.00256,6e-05,0.00244,0.0039,0.00244,50.0,8.34,16.68,LOSS,-8.34,-16.68,55
1189,TACUSDT,LONG,2026-08-17 02:00:00 UTC,1786932000000,1786932000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00287,0.00256,6e-05,0.00244,0.00373,0.00244,50.0,7.52,15.04,LOSS,-7.52,-15.04,54
1190,TACUSDT,LONG,2026-08-17 03:00:00 UTC,1786935600000,1786935600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00287,0.00256,6e-05,0.00244,0.00373,0.00244,50.0,7.5,15.0,LOSS,-7.5,-15.0,53
