Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
356,CGPTUSDT,11,27.27272727272727,-3.374298784214813,-3.374298784214813,96.6257012157852
357,SAFEUSDT,15,33.33333333333333,-3.3759618949845263,-3.3759618949845263,96.62403810501547
358,NATGASUSDT,30,26.666666666666668,-3.3907675310752157,-3.3907675310752157,96.60923246892476
359,AUSDT,7,14.285714285714285,-3.395379053943165,-3.395379053943165,96.60462094605684
360,EGLDUSDT,15,33.33333333333333,-3.3993882065116074,-3.3993882065116074,96.60061179348843
361,BXUSDT,16,6.25,-3.4210630077290967,-3.4210630077290967,96.57893699227091
362,SXTUSDT,15,26.666666666666668,-3.45799092715205,-3.45799092715205,96.54200907284795
363,TRXUSDT,34,32.35294117647059,-3.481631863999601,-3.481631863999601,96.51836813600036
364,YFIUSDT,18,38.88888888888889,-3.4959563083372887,-3.4959563083372887,96.5040436916627
365,SWARMSUSDT,7,28.57142857142857,-3.4966188138501013,-3.4966188138501013,96.5033811861499
366,RSRUSDT,14,35.714285714285715,-3.523991742877738,-3.523991742877738,96.47600825712225
367,ASTRUSDT,10,20.0,-3.5356452116855386,-3.5356452116855386,96.46435478831445
368,ETHWUSDT,11,18.181818181818183,-3.5488578356866483,-3.5488578356866483,96.45114216431335
369,CBRSUSDT,31,25.806451612903224,-3.5736859804354415,-3.5736859804354415,96.4263140195645
370,ALPINEUSDT,6,16.666666666666664,-3.6262066975060634,-3.6262066975060634,96.37379330249392
371,AIXBTUSDT,8,12.5,-3.668577847625543,-3.668577847625543,96.33142215237444
372,CRCLUSDT,19,26.31578947368421,-3.698491525101387,-3.698491525101387,96.30150847489861
373,ONGUSDT,16,31.25,-3.7226936648468825,-3.7226936648468825,96.27730633515309
374,XAGUSDT,23,30.434782608695656,-3.742454553599002,-3.742454553599002,96.25754544640101
375,BEATUSDT,21,19.047619047619047,-3.755648338023399,-3.755648338023399,96.24435166197664
376,ETHUSDT,23,30.434782608695656,-3.7632514747605805,-3.7632514747605805,96.23674852523943
377,ARKUSDT,9,11.11111111111111,-3.7957552062579296,-3.7957552062579296,96.20424479374208
378,ASTERUSDT,11,9.090909090909092,-3.815441653388236,-3.815441653388236,96.18455834661177
379,STRKUSDT,13,30.76923076923077,-3.8297047218114755,-3.8297047218114755,96.17029527818852
380,ADAUSDT,18,22.22222222222222,-3.843356402218829,-3.843356402218829,96.15664359778121
381,NEOUSDT,14,21.428571428571427,-3.8678445881230368,-3.8678445881230368,96.13215541187697
382,CKBUSDT,12,25.0,-3.8841625282073626,-3.8841625282073626,96.11583747179262
383,TONUSDT,4,25.0,-3.886565151275786,-3.886565151275786,96.1134348487242
384,RNDRUSDT,21,38.095238095238095,-3.8965614273030442,-3.8965614273030442,96.10343857269697
385,ATUSDT,21,28.57142857142857,-3.9460708257654096,-3.9460708257654096,96.05392917423461
386,PIEVERSEUSDT,22,40.909090909090914,-3.953724797961211,-3.953724797961211,96.04627520203876
387,BMNRUSDT,27,33.33333333333333,-3.9886496557529703,-3.9886496557529703,96.01135034424703
388,AEVOUSDT,6,16.666666666666664,-3.9922214016607014,-3.9922214016607014,96.0077785983393
389,THETAUSDT,9,33.33333333333333,-4.145690437378828,-4.145690437378828,95.85430956262117
390,SANTOSUSDT,11,27.27272727272727,-4.281787405842275,-4.281787405842275,95.7182125941577
391,GALAUSDT,8,25.0,-4.292601850623805,-4.292601850623805,95.7073981493762
392,ARUSDT,11,27.27272727272727,-4.3284176034435395,-4.3284176034435395,95.67158239655647
393,DUSKUSDT,13,30.76923076923077,-4.349148137465874,-4.349148137465874,95.65085186253414
394,ADBEUSDT,21,33.33333333333333,-4.420165540566749,-4.420165540566749,95.57983445943324
395,1000LUNCUSDT,9,22.22222222222222,-4.464402868575123,-4.464402868575123,95.5355971314249
396,BTCDOMUSDT,22,18.181818181818183,-4.52356889542396,-4.52356889542396,95.47643110457604
397,ICNTUSDT,16,37.5,-4.597094773278927,-4.597094773278927,95.40290522672107
398,OPENAIUSDT,27,37.03703703703704,-4.647262719307628,-4.647262719307628,95.35273728069237
399,WMTUSDT,33,30.303030303030305,-4.659947692019164,-4.659947692019164,95.34005230798083
400,ARMUSDT,33,33.33333333333333,-4.666754025565034,-4.666754025565034,95.33324597443497
401,XANUSDT,19,26.31578947368421,-4.672625463553518,-4.672625463553518,95.32737453644648
402,KAVAUSDT,14,21.428571428571427,-4.688922434260721,-4.688922434260721,95.31107756573932
403,SOLVUSDT,11,18.181818181818183,-4.700550222489458,-4.700550222489458,95.29944977751052
404,JASMYUSDT,9,22.22222222222222,-4.71339577672417,-4.71339577672417,95.28660422327583
405,EWTUSDT,41,39.02439024390244,-4.714046117019406,-4.714046117019406,95.28595388298056
406,ZRXUSDT,10,20.0,-4.725333417170454,-4.725333417170454,95.27466658282952
407,IDUSDT,28,32.142857142857146,-4.726003486461554,-4.726003486461554,95.27399651353845
408,SMCIUSDT,17,35.294117647058826,-4.754301114600194,-4.754301114600194,95.2456988853998
409,ORDERUSDT,16,25.0,-4.7968093628731,-4.7968093628731,95.20319063712688
410,BNTUSDT,9,22.22222222222222,-4.821154926451067,-4.821154926451067,95.17884507354893
411,FIDAUSDT,10,30.0,-4.870875914278177,-4.870875914278177,95.12912408572184
412,LISTAUSDT,12,33.33333333333333,-4.873285096733957,-4.873285096733957,95.12671490326603
413,HPEUSDT,36,27.77777777777778,-4.932108009170587,-4.932108009170587,95.0678919908294
414,COOKIEUSDT,8,25.0,-4.9350443945789735,-4.9350443945789735,95.06495560542102
415,HIVEUSDT,17,17.647058823529413,-4.939790285511283,-4.939790285511283,95.06020971448872
416,MVLLUSDT,27,33.33333333333333,-4.99730028861141,-4.99730028861141,95.00269971138857
417,AZTECUSDT,15,26.666666666666668,-5.062179597343553,-5.062179597343553,94.93782040265646
418,GMXUSDT,15,26.666666666666668,-5.072638385425017,-5.072638385425017,94.92736161457496
419,SOONUSDT,14,35.714285714285715,-5.0979339232123175,-5.0979339232123175,94.90206607678769
420,NEWTUSDT,8,12.5,-5.102021194502847,-5.102021194502847,94.89797880549715
421,ORCLUSDT,26,26.923076923076923,-5.10539396132418,-5.10539396132418,94.89460603867585
422,CELRUSDT,10,20.0,-5.110357130462026,-5.110357130462026,94.88964286953798
423,TWTUSDT,18,22.22222222222222,-5.125606716961773,-5.125606716961773,94.87439328303824
424,SEIUSDT,16,37.5,-5.136107160336957,-5.136107160336957,94.86389283966301
425,DYDXUSDT,18,33.33333333333333,-5.159805379974199,-5.159805379974199,94.84019462002578
426,DRIFTUSDT,13,23.076923076923077,-5.164467970462195,-5.164467970462195,94.8355320295378
427,2ZUSDT,18,27.77777777777778,-5.178718951822546,-5.178718951822546,94.82128104817744
428,OPUSDT,10,20.0,-5.1801734088467795,-5.1801734088467795,94.81982659115322
429,LINEAUSDT,9,22.22222222222222,-5.181899295462084,-5.181899295462084,94.8181007045379
430,GMEUSDT,19,21.052631578947366,-5.199083246489085,-5.199083246489085,94.80091675351092
431,PLUMEUSDT,10,20.0,-5.209117596546432,-5.209117596546432,94.79088240345357
432,BNBUSDT,20,30.0,-5.22916781796199,-5.22916781796199,94.77083218203799
433,AIAUSDT,7,28.57142857142857,-5.233138000354344,-5.233138000354344,94.76686199964567
434,AVNTUSDT,13,23.076923076923077,-5.28304046331848,-5.28304046331848,94.71695953668154
435,CRWDUSDT,32,28.125,-5.328036948765356,-5.328036948765356,94.67196305123463
436,FLUIDUSDT,9,11.11111111111111,-5.371127872557469,-5.371127872557469,94.62887212744253
437,ORDIUSDT,10,30.0,-5.378629228914648,-5.378629228914648,94.62137077108537
438,JSTUSDT,30,33.33333333333333,-5.380855302370735,-5.380855302370735,94.61914469762924
439,XRPUSDT,21,38.095238095238095,-5.404301946798112,-5.404301946798112,94.5956980532019
440,BIGTIMEUSDT,15,26.666666666666668,-5.422539191814544,-5.422539191814544,94.57746080818549
441,GMTUSDT,7,0.0,-5.443340962708875,-5.443340962708875,94.55665903729111
442,IOTAUSDT,23,34.78260869565217,-5.471198294087673,-5.471198294087673,94.52880170591236
443,IWMUSDT,15,13.333333333333334,-5.501398625080432,-5.501398625080432,94.49860137491962
444,BBXUSDT,25,32.0,-5.523785136234779,-5.523785136234779,94.47621486376522
445,XLEUSDT,21,23.809523809523807,-5.536244479058422,-5.536244479058422,94.46375552094159
446,FFUSDT,30,36.666666666666664,-5.537611386092168,-5.537611386092168,94.4623886139078
447,ZBTUSDT,23,30.434782608695656,-5.553587337141924,-5.553587337141924,94.44641266285808
448,MOVEUSDT,13,23.076923076923077,-5.593701767310323,-5.593701767310323,94.40629823268968
449,AVAUSDT,10,30.0,-5.595895671157102,-5.595895671157102,94.4041043288429
450,MASKUSDT,13,23.076923076923077,-5.622794935499153,-5.622794935499153,94.37720506450086
451,KLACUSDT,29,34.48275862068966,-5.748044167406382,-5.748044167406382,94.25195583259361
452,BIRBUSDT,12,16.666666666666664,-5.76973794167257,-5.76973794167257,94.23026205832741
453,HYUNDAIUSDT,34,35.294117647058826,-5.775733015230617,-5.775733015230617,94.2242669847694
454,CAKEUSDT,12,16.666666666666664,-5.8215810343417855,-5.8215810343417855,94.17841896565821
455,CCUSDT,35,25.71428571428571,-5.851597697602809,-5.851597697602809,94.14840230239716
456,ORCAUSDT,11,18.181818181818183,-5.901520193885397,-5.901520193885397,94.0984798061146
457,CATIUSDT,16,25.0,-5.910837401777936,-5.910837401777936,94.08916259822206
458,ZMUSDT,29,31.03448275862069,-5.963081225692422,-5.963081225692422,94.0369187743076
459,RVNUSDT,13,15.384615384615385,-6.074902032317402,-6.074902032317402,93.92509796768258
460,EWZUSDT,35,31.428571428571427,-6.086431844461334,-6.086431844461334,93.91356815553866
461,GTCUSDT,11,9.090909090909092,-6.110522205512458,-6.110522205512458,93.88947779448755
462,C98USDT,7,0.0,-6.158727653794069,-6.158727653794069,93.84127234620593
463,TREEUSDT,13,30.76923076923077,-6.2015361191348735,-6.2015361191348735,93.79846388086514
464,ALICEUSDT,8,12.5,-6.202396195989077,-6.202396195989077,93.79760380401093
465,1000BONKUSDT,18,33.33333333333333,-6.25432127965019,-6.25432127965019,93.74567872034979
466,BABAUSDT,23,26.08695652173913,-6.274008613828428,-6.274008613828428,93.72599138617157
467,FLOCKUSDT,12,25.0,-6.339115471679563,-6.339115471679563,93.66088452832047
468,TRADOORUSDT,12,33.33333333333333,-6.352315433860248,-6.352315433860248,93.64768456613977
469,币安人生USDT,11,27.27272727272727,-6.360550291536295,-6.360550291536295,93.6394497084637
470,BANANAS31USDT,17,23.52941176470588,-6.377131913058691,-6.377131913058691,93.62286808694131
471,EOSUSDT,14,21.428571428571427,-6.385086156162554,-6.385086156162554,93.61491384383743
472,ENSUSDT,16,18.75,-6.413199979166137,-6.413199979166137,93.58680002083386
473,AVAXUSDT,20,30.0,-6.539270114851528,-6.539270114851528,93.4607298851485
474,QCOMUSDT,34,29.411764705882355,-6.545178908185394,-6.545178908185394,93.45482109181464
475,XVSUSDT,14,14.285714285714285,-6.584033928216167,-6.584033928216167,93.41596607178384
476,SLPUSDT,13,23.076923076923077,-6.593739191900315,-6.593739191900315,93.40626080809967
477,CHZUSDT,10,10.0,-6.634580084214471,-6.634580084214471,93.36541991578551
478,BARDUSDT,7,14.285714285714285,-6.746354456047967,-6.746354456047967,93.25364554395203
479,1000000MOGUSDT,17,23.52941176470588,-6.787955050736658,-6.787955050736658,93.21204494926336
480,CETUSUSDT,9,0.0,-6.794488327543617,-6.794488327543617,93.2055116724564
481,1000CHEEMSUSDT,12,33.33333333333333,-6.842263748801338,-6.842263748801338,93.15773625119866
482,URNMUSDT,35,34.285714285714285,-6.852816863162012,-6.852816863162012,93.14718313683795
483,STXXUSDT,28,25.0,-6.8725530049700945,-6.8725530049700945,93.12744699502993
484,BASEDUSDT,19,36.84210526315789,-6.92334416365964,-6.92334416365964,93.07665583634035
485,BANUSDT,24,41.66666666666667,-6.93261579201378,-6.93261579201378,93.06738420798622
486,SFPUSDT,21,23.809523809523807,-7.001795786704467,-7.001795786704467,92.99820421329552
